time,ax,ay,az,aT
9.2840,-0.7925,-1.1213,2.1655,2.564
9.3040,-0.2591,-1.3881,1.6824,2.196
9.3250,0.0027,-1.8498,0.8775,2.047
9.3440,0.2580,-2.0495,0.1982,2.075
9.3690,0.6951,-2.5818,-0.7164,2.768
9.3820,0.8918,-2.9646,-1.5741,3.473
9.4010,1.0560,-2.8988,-2.5046,3.974
9.4210,0.3492,-1.8048,-3.4564,3.915
9.4400,-1.4407,0.0718,-4.5216,4.746
9.4600,-3.2220,2.0192,-4.5703,5.945
9.4800,-4.5593,2.2299,-4.5095,6.789
9.5010,-5.3601,0.6365,-4.0467,6.746
9.5210,-5.0692,-0.9619,-2.5186,5.742
9.5370,-4.5091,-0.9491,-0.4783,4.633
9.5570,-4.0417,-0.1740,0.8980,4.144
9.5770,-3.4118,0.2225,1.5415,3.750
9.5960,-2.7701,0.5398,1.3862,3.144
9.6160,-2.6864,1.4321,1.2148,3.278
9.6380,-2.8885,2.0813,2.0812,4.124
9.6530,-2.4897,1.6564,3.0650,4.282
9.6730,-1.8286,0.4404,3.8650,4.298
9.6930,-1.3834,-0.4378,3.6505,3.928
9.7120,-1.4233,-0.6285,2.6064,3.035
9.7310,-1.6821,-0.2571,1.5529,2.304
9.7530,-1.7477,-0.2677,0.6259,1.876
9.7710,-1.4623,-0.6398,0.1832,1.607
9.7890,-0.8672,-1.1218,-0.1609,1.427
9.8080,-0.5315,-1.3147,-1.2420,1.885
9.8290,-0.4710,-1.0973,-1.8106,2.169
9.8470,0.1035,-0.9751,-2.2167,2.424
9.8670,0.7401,-0.9452,-2.0269,2.356
9.8880,1.2433,-0.8153,-1.9626,2.462
9.9230,1.3717,-0.5968,-2.2574,2.708
9.9250,1.4685,-0.1643,-2.4242,2.839
9.9440,1.7287,0.2586,-1.7769,2.493
9.9640,1.8407,0.2578,-1.1003,2.160
9.9830,1.4824,-0.0887,-1.3270,1.992
10.0030,0.6700,0.1651,-2.4241,2.520
10.0230,0.0360,1.1604,-3.3937,3.587
10.0460,-0.0088,1.9508,-3.4222,3.939
10.0750,0.5499,1.7242,-2.5676,3.141
10.0800,0.7041,1.0391,-1.8387,2.226
10.1000,0.2703,1.0795,-1.9348,2.232
10.1190,-0.5260,1.4464,-2.4888,2.926
10.1390,-0.9848,1.8343,-1.9141,2.828
10.1580,-0.9270,1.9118,-0.4684,2.176
10.1780,-0.6551,1.4694,1.4616,2.174
10.2090,-0.3486,0.9748,3.0813,3.251
10.2160,-0.3091,0.6059,3.9080,3.967
10.2370,-0.2672,0.1430,4.0197,4.031
10.2580,-0.4266,0.0279,3.6994,3.724
10.2740,-0.6174,0.1113,2.7688,2.839
10.2940,-0.6539,0.3128,2.2526,2.366
10.3140,-0.3184,0.4107,1.8045,1.878
